2026-05-19 10:35:39 | INFO     | pytest | Starting browser: edge
2026-05-19 10:35:40 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-19 10:35:42 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:35:47 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-19 10:35:47 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-19 10:35:47 | INFO     | HomePage | Commercial tab opened
2026-05-19 10:35:47 | INFO     | CommercialPage | Searching commercial property: Noida
2026-05-19 10:35:48 | INFO     | CommercialPage | Commercial search triggered
2026-05-19 10:35:48 | INFO     | CommercialPage | Applying commercial filters
2026-05-19 10:35:50 | INFO     | CommercialPage | Verified
2026-05-19 10:35:53 | INFO     | CommercialPage | Budget Min Dropdown
2026-05-19 10:35:57 | INFO     | CommercialPage | Min Budget Selected
2026-05-19 10:35:59 | INFO     | CommercialPage | Budget Max Dropdown
2026-05-19 10:36:06 | INFO     | CommercialPage | Max Budget Selected skipped
2026-05-19 10:36:06 | INFO     | CommercialPage | Apartment Selected
2026-05-19 10:36:09 | INFO     | CommercialPage | Villa Selected
2026-05-19 10:36:11 | INFO     | CommercialPage | 2 BHK Selected
2026-05-19 10:36:22 | INFO     | CommercialPage | 3 BHK Selected skipped
2026-05-19 10:36:22 | INFO     | CommercialPage | Ready To Move Selected
2026-05-19 10:36:24 | INFO     | CommercialPage | Under Construction Selected
2026-05-19 10:36:27 | INFO     | CommercialPage | Owner Selected
2026-05-19 10:36:29 | INFO     | CommercialPage | Central Noida Selected
2026-05-19 10:36:31 | INFO     | CommercialPage | Sector 150 Selected
2026-05-19 10:36:39 | INFO     | CommercialPage | Parking Selected skipped
2026-05-19 10:36:39 | INFO     | CommercialPage | Lift Selected
2026-05-19 10:36:41 | INFO     | CommercialPage | Page loaded completely: https://www.99acres.com/search/property/buy/residential-all/noida?city=7&keyword=Noida&property_type=C&preference=S&res_com=R
2026-05-19 10:36:41 | INFO     | CommercialPage | Commercial filters completed
2026-05-19 10:37:11 | ERROR    | CommercialPage | Commercial results NOT loaded
2026-05-19 10:37:16 | ERROR    | pytest | Test failed. Screenshot saved: C:\Capstone_99acres\newproject\screenshots\tests_test_for_commercial.py_TestCommercial_test_commercial_flow_20260519_103716.png
2026-05-19 10:37:16 | INFO     | pytest | Closing browser after complete test session
